"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"229";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2015;302;34961
"230";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2016;364;50738
"231";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2017;317;49432
"232";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2007;507;182847
"233";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2008;397;108663
"234";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2009;339;103148
"235";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2010;383;118609
"236";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2011;414;126847
"237";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2012;384;140539
"238";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2013;381;118505
"239";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2014;452;135572
"240";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2015;770;147978
"241";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2016;751;160314
"242";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2017;808;197275
"243";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2007;342;120912
"244";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2008;235;63541
"245";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2009;194;59284
"246";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2010;200;51819
"247";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2011;214;59420
"248";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2012;234;61377
"249";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2013;215;57251
"250";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2014;261;65021
"251";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2015;276;66809
"252";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2016;204;56669
"253";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2017;227;55232
"254";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2007;165;61935
"255";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2008;162;45122
"256";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2009;145;43864
"257";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2010;183;66790
