Obsojeni polnoletni in mladoletni po: OBÈINE, KAZALNIK , LETO;;;;;;;;;;;
;;;;;;;;;;;
 ;Obsojeni polnoletni in mladoletni na 1000 prebivalcev; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Šenèur;1.0;1.feb;0.9;0.8;0.7;0.6;1.avg;1.jul;1.avg;0.9;2.feb
Šentilj;2.0;3.avg;4.mar;6.avg;4.jun;3.maj;3.avg;4.apr;3.maj;3.jul;3.jun
Šentjernej;3.jun;3.mar;4.feb;5.feb;4.jan;4.avg;6.apr;6.avg;5.0;7.feb;6.apr
Šentjur;2.sep;3.mar;2.sep;2.jun;3.jan;1.maj;2.jan;4.avg;3.jun;3.jun;2.jun
Šentrupert;0.0;z;1.feb;z;z;0.0;1.jan;1.jul;z;4.avg;3.apr
Škocjan;10.jul;7.avg;9.avg;9.mar;7.jul;9.jul;10.0;19.sep;13.mar;10.avg;11.jul
Škofja Loka;2.apr;2.avg;2.maj;2.0;2.0;2.0;2.maj;2.apr;3.jan;3.0;2.apr
Škofljica;0.8;1.sep;2.mar;1.sep;1.sep;1.jun;2.apr;2.mar;2.jun;2.maj;2.mar
Šmarje pri Jelšah;5.maj;5.feb;5.sep;4.apr;5.feb;2.jun;2.maj;5.apr;3.jun;2.jan;2.feb
Šmarješke Toplice;0.0;1.0;1.sep;0.9;1.mar;2.maj;2.maj;1.avg;1.feb;1.feb;1.avg
Šmartno ob Paki;1.0;2.sep;2.feb;3.feb;1.sep;1.jun;3.jul;3.jul;3.jan;4.jul;4.0
Šmartno pri Litiji;z;2.mar;1.sep;1.sep;1.jan;1.jun;0.5;2.jul;1.avg;2.0;0.9
Šoštanj;2.0;2.jan;2.0;2.feb;2.apr;1.jun;2.apr;2.mar;2.maj;2.avg;3.jun
Štore;1.jul;1.apr;3.jan;3.0;3.feb;2.avg;3.jul;4.0;4.jul;2.jan;1.sep
Tabor;2.jul;2.0;0.0;z;z;z;z;2.apr;0.0;1.avg;1.avg
Tišina;0.0;1.feb;3.avg;3.avg;2.feb;1.jul;4.apr;4.jun;3.jul;2.feb;3.jul
Tolmin;2.jun;2.avg;1.sep;1.apr;2.0;2.mar;1.jul;2.sep;2.jan;2.mar;1.jul
Trbovlje;4.mar;7.feb;5.avg;6.apr;6.mar;5.maj;5.jun;8.apr;6.feb;4.0;3.maj
Trebnje;3.feb;4.feb;4.avg;3.jun;3.jun;2.jul;3.sep;4.0;4.jul;3.maj;3.avg
Trnovska vas;z;4.jun;4.maj;3.avg;z;2.feb;0.0;z;z;z;2.feb
Trzin;2.apr;2.maj;1.jun;2.jan;2.apr;1.mar;1.0;4.apr;2.sep;1.mar;1.maj
Tržiè;3.maj;3.avg;4.feb;2.jul;3.feb;3.0;4.0;3.apr;3.sep;3.jan;2.mar
Turnišèe;2.mar;4.mar;4.jan;2.apr;3.0;2.sep;7.avg;10.maj;7.mar;4.mar;5.maj
Velenje;4.jun;4.0;4.jan;4.apr;3.jul;3.jul;3.sep;5.avg;4.mar;3.jan;3.maj
Velika Polana;2.0;3.sep;z;3.apr;5.maj;4.0;4.jul;3.apr;z;4.jan;2.jan
Velike Lašèe;0.7;1.jul;1.jul;0.7;1.sep;2.jan;1.sep;3.jun;1.jul;1.sep;2.avg
Veržej;z;3.0;z;z;z;3.jan;z;z;z;3.jan;3.sep
Videm;z;0.7;1.jan;0.5;0.5;1.jan;2.mar;2.maj;2.maj;4.apr;3.mar
Vipava;1.mar;2.feb;2.feb;1.sep;0.9;2.apr;2.feb;2.mar;1.avg;1.jun;1.mar
Vitanje;3.avg;3.apr;5.feb;z;z;6.jun;4.avg;6.feb;1.mar;1.avg;2.jun
Vodice;z;1.feb;1.jan;z;1.maj;1.maj;1.jan;2.jan;1.sep;2.jan;1.sep
Vojnik;2.feb;1.maj;2.0;3.jan;3.jul;1.sep;2.jan;2.apr;4.mar;2.jul;1.maj
Vransko;1.feb;1.jun;1.jun;1.sep;1.feb;3.jan;1.maj;3.jan;z;2.jul;1.sep
Vrhnika;3.0;3.jul;2.sep;2.0;2.apr;2.jan;1.feb;3.sep;2.jun;2.sep;2.jun
Vuzenica;3.sep;1.jan;2.sep;1.maj;4.apr;2.feb;6.jun;4.0;2.jun;4.0;2.jun
Zagorje ob Savi;2.apr;3.jun;3.jun;3.jan;3.sep;4.avg;3.apr;5.avg;3.feb;2.maj;2.0
Zavrè;z;2.0;z;3.sep;3.jul;3.jul;5.avg;2.avg;4.0;3.maj;z
Zreèe;2.avg;2.avg;2.0;2.mar;3.sep;2.jun;3.0;3.0;3.maj;3.jan;2.jun
Žalec;3.sep;4.0;3.avg;4.feb;4.jan;3.mar;3.jan;6.jan;4.mar;3.sep;2.avg
Železniki;1.maj;1.jul;1.maj;0.7;1.feb;0.7;1.maj;3.jan;3.jan;1.jun;1.jun
Žetale;2.jan;z;2.feb;5.feb;z;2.feb;5.feb;3.0;3.jul;2.mar;2.mar
Žiri;1.feb;1.jun;2.0;1.0;z;1.0;0.8;1.avg;0.8;1.sep;0.8
Žirovnica;2.apr;1.feb;2.jun;1.sep;1.jun;1.avg;1.jun;1.jan;1.apr;1.jan;1.avg
